source_id,region,jurisdiction,government_level,system_name,official_entry_point,access_class,priority_class,state,discovery_basis,notes
AFDB_PROCUREMENT,AFRICA,African Development Bank member operations,MULTILATERAL,AfDB Procurement Opportunities,https://www.afdb.org/en/projects-and-operations/procurement,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
EG_ETENDERS,AFRICA,Egypt,NATIONAL,Egyptian Government Procurement Portal,https://etenders.gov.eg/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
GH_GHANEPS,AFRICA,Ghana,NATIONAL,Ghana Electronic Procurement System,https://www.ghaneps.gov.gh/,OFFICIAL_OCDS_OR_PORTAL,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
KE_PPIP,AFRICA,Kenya,NATIONAL,Public Procurement Information Portal,https://tenders.go.ke/,OFFICIAL_OCDS_BULK,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
MA_MARCHES_PUBLICS,AFRICA,Morocco,NATIONAL,Portail des marchés publics,https://www.marchespublics.gov.ma/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
ZA_ETENDERS_OCDS,AFRICA,South Africa,NATIONAL,eTenders OCDS API and bulk data,https://ocds-api.etenders.gov.za/,OFFICIAL_OCDS_API,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
BW_IPMS,AFRICA,Botswana,NATIONAL,Integrated Procurement Management System,https://ipms.ppadb.co.bw/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
CI_SIGOMAP,AFRICA,Côte d'Ivoire,NATIONAL,SIGOMAP,https://www.marchespublics.ci/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
ET_EGP,AFRICA,Ethiopia,NATIONAL,e-Government Procurement,https://egp.ppa.gov.et/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
LR_EPROCUREMENT_OCDS,AFRICA,Liberia,NATIONAL,PPCC e-Government Procurement and OCDS Portal,https://eprocurement.ppcc.gov.lr/,OFFICIAL_OCDS_PORTAL,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
MU_EPROCUREMENT,AFRICA,Mauritius,NATIONAL,e-Procurement System,https://eproc.publicprocurement.govmu.org/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
NA_EPROCUREMENT,AFRICA,Namibia,NATIONAL,eProcurement Portal,https://eprocurement.gov.na/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
NG_NOCOPO_OCDS,AFRICA,Nigeria,NATIONAL,Nigeria Open Contracting Portal,https://nocopo.bpp.gov.ng/,OFFICIAL_OCDS_API,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,Broad reach objective; implementation follows larger and more technically mature markets.
RW_UMUCYO,AFRICA,Rwanda,NATIONAL,Umucyo e-Procurement,https://www.umucyo.gov.rw/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
SN_MARCHES_PUBLICS,AFRICA,Senegal,NATIONAL,Public procurement portal candidate,https://www.marchespublics.sn/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
TZ_NEST,AFRICA,Tanzania,NATIONAL,National e-Procurement System of Tanzania,https://nest.go.tz/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
TN_TUNEPS,AFRICA,Tunisia,NATIONAL,TUNEPS,https://www.tuneps.tn/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
UG_GPP,AFRICA,Uganda,NATIONAL,Government Procurement Portal,https://gpp.ppda.go.ug/,OFFICIAL_OCDS_BULK,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
ZM_EGP,AFRICA,Zambia,NATIONAL,e-Government Procurement,https://eprocure.zppa.org.zm/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
ZW_PRAZ_EGP,AFRICA,Zimbabwe,NATIONAL,PRAZ e-GP,https://egp.praz.org.zw/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
CM_ARMP,AFRICA,Cameroon,NATIONAL,ARMP procurement portal candidate,https://armp.cm/,OFFICIAL_IDENTITY_TO_VERIFY,P4,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
MW_EGP,AFRICA,Malawi,NATIONAL,e-Government Procurement candidate,https://egp.mw/,OFFICIAL_IDENTITY_TO_VERIFY,P4,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
MZ_UFSA,AFRICA,Mozambique,NATIONAL,UFSA procurement system candidate,https://www.ufsa.gov.mz/,OFFICIAL_IDENTITY_TO_VERIFY,P4,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
SL_NPPA,AFRICA,Sierra Leone,NATIONAL,NPPA procurement portal candidate,https://nppa.gov.sl/,OFFICIAL_IDENTITY_TO_VERIFY,P4,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
