source_id,region,jurisdiction,government_level,system_name,official_entry_point,access_class,priority_class,state,discovery_basis,notes
CN_CCGP,ASIA,China,NATIONAL,China Government Procurement Network,https://www.ccgp.gov.cn/,OFFICIAL_DATA_INTERFACE_STANDARD,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
IN_CPPP_EPROCURE,ASIA,India,NATIONAL,Central Public Procurement Portal / eProcure,https://eprocure.gov.in/eprocure/app,OFFICIAL_PORTAL_FEASIBILITY,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
IN_GEM,ASIA,India,NATIONAL,Government e-Marketplace,https://gem.gov.in/,OFFICIAL_PORTAL_API_FEASIBILITY,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
JP_GEPS_DATA,ASIA,Japan,NATIONAL,Government Electronic Procurement System data publication,https://www.chotatujoho.geps.go.jp/va/com/information_m.html,OFFICIAL_CSV_API,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
JP_KKJ_API,ASIA,Japan,NATIONAL,Government Procurement Information Portal API,https://www.kkj.go.jp/,OFFICIAL_REST_XML_API,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
KR_KONEPS,ASIA,South Korea,NATIONAL,KONEPS public procurement data services,https://www.data.go.kr/,OFFICIAL_REST_JSON_XML,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
SA_ETIMAD,MIDDLE_EAST,Saudi Arabia,NATIONAL,"Etimad tenders, contracts and developer APIs",https://apiportal.etimad.sa/en/docs/introduction,OFFICIAL_SUBSCRIPTION_API,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,Large market and mature API portal; exact procurement products and access rights require review.
BD_EGP,ASIA,Bangladesh,NATIONAL,e-GP,https://www.eprocure.gov.bd/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
ID_INAPROC,ASIA,Indonesia,NATIONAL,INAPROC / LKPP aggregation,https://inaproc.id/,OFFICIAL_AGGREGATION_PORTAL,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
MY_EPERolehan,ASIA,Malaysia,NATIONAL,ePerolehan,https://www.eperolehan.gov.my/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
PK_EPADS,ASIA,Pakistan,NATIONAL,EPADS / PPRA,https://eprocure.gov.pk/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
PH_PHILGEPS,ASIA,Philippines,NATIONAL,PhilGEPS,https://notices.philgeps.gov.ph/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
SG_GEBIZ,ASIA,Singapore,NATIONAL,GeBIZ,https://www.gebiz.gov.sg/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
TH_EGP,ASIA,Thailand,NATIONAL,e-Government Procurement,https://process3.gprocurement.go.th/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
VN_MUASAMCONG,ASIA,Vietnam,NATIONAL,National e-Procurement System,https://muasamcong.mpi.gov.vn/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
IL_MR,MIDDLE_EAST,Israel,NATIONAL,Government Procurement Administration portal,https://mr.gov.il/ilgstorefront/en,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
AE_FEDERAL_PROCUREMENT,MIDDLE_EAST,United Arab Emirates,FEDERAL,Federal procurement platform candidate,,OFFICIAL_IDENTITY_TO_VERIFY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
ID_SIRUP,ASIA,Indonesia,NATIONAL,SiRUP procurement planning,https://sirup.inaproc.id/,OFFICIAL_PLANNING_PORTAL,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
NP_BOLPATRA,ASIA,Nepal,NATIONAL,PPMO e-GP / Bolpatra,https://bolpatra.gov.np/egp/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
BH_TENDER_BOARD,MIDDLE_EAST,Bahrain,NATIONAL,Tender Board,https://www.tenderboard.gov.bh/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
OM_ESNAD,MIDDLE_EAST,Oman,NATIONAL,Tender Board eTendering / Esnad,https://etendering.tenderboard.gov.om/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
QA_MONAQASAT,MIDDLE_EAST,Qatar,NATIONAL,Monaqasat,https://monaqasat.mof.gov.qa/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
LK_EGP,ASIA,Sri Lanka,NATIONAL,National e-GP candidate,,OFFICIAL_IDENTITY_TO_VERIFY,P4,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
