source_id,region,jurisdiction,government_level,system_name,official_entry_point,access_class,priority_class,state,discovery_basis,notes
EU_TED,EUROPE,European Union,SUPRANATIONAL,Tenders Electronic Daily,https://developer.ted.europa.eu/,OFFICIAL_API_XML_EFORMS,P0,TECHNICAL_PROBE,OFFICIAL_TECHNICAL_EVIDENCE,Current sole implementation wedge.
FR_DECP,EUROPE,France,NATIONAL,Données essentielles de la commande publique,https://www.data.gouv.fr/fr/datasets/donnees-essentielles-de-la-commande-publique-consolidees/,OFFICIAL_BULK_API,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
DE_BMI_PUBLICATION_SERVICE,EUROPE,Germany,FEDERAL,Bekanntmachungsservice des Bundes,https://www.oeffentlichevergabe.de/,OFFICIAL_OCDS_BULK,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
IT_ANAC_BDNCP,EUROPE,Italy,NATIONAL,ANAC Banca Dati Nazionale dei Contratti Pubblici,https://dati.anticorruzione.it/,OFFICIAL_OPEN_DATA_API,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
NL_TENDERNED,EUROPE,Netherlands,NATIONAL,TenderNed,https://www.tenderned.nl/,OFFICIAL_OCDS_BULK,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
ES_PLACSP,EUROPE,Spain,NATIONAL,Plataforma de Contratación del Sector Público,https://contrataciondelestado.es/,OFFICIAL_OPEN_DATA_FEED,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
UK_CONTRACTS_FINDER,EUROPE,United Kingdom,NATIONAL,Contracts Finder,https://www.contractsfinder.service.gov.uk/apidocumentation/home,OFFICIAL_API,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
UK_FIND_A_TENDER,EUROPE,United Kingdom,NATIONAL,Find a Tender Service,https://www.find-tender.service.gov.uk/api/1.0/ocdsReleasePackages,OFFICIAL_OCDS_API,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
BE_EPROCUREMENT,EUROPE,Belgium,NATIONAL,e-Procurement Belgium,https://www.publicprocurement.be/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
IE_ETENDERS,EUROPE,Ireland,NATIONAL,eTenders,https://www.etenders.gov.ie/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
NO_DOFFIN,EUROPE,Norway,NATIONAL,Doffin,https://www.doffin.no/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
PL_EZAMOWIENIA,EUROPE,Poland,NATIONAL,e-Zamówienia,https://ezamowienia.gov.pl/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
PT_BASE,EUROPE,Portugal,NATIONAL,Portal BASE,https://www.base.gov.pt/,OFFICIAL_OPEN_DATA_PORTAL,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
RO_SEAP,EUROPE,Romania,NATIONAL,SEAP / SICAP,https://www.e-licitatie.ro/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
UK_SCOTLAND_PCS,EUROPE,Scotland,SUBNATIONAL,Public Contracts Scotland,https://www.publiccontractsscotland.gov.uk/,OFFICIAL_OCDS_OR_PORTAL,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
CH_SIMAP,EUROPE,Switzerland,NATIONAL,simap.ch,https://www.simap.ch/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
UK_WALES_SELL2WALES,EUROPE,Wales,SUBNATIONAL,Sell2Wales,https://www.sell2wales.gov.wales/,OFFICIAL_OCDS_OR_PORTAL,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
AL_APP,EUROPE,Albania,NATIONAL,Public Procurement Agency eProcurement,https://www.app.gov.al/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
AT_USP_EPROCUREMENT,EUROPE,Austria,NATIONAL,USP eProcurement,https://www.usp.gv.at/,OFFICIAL_IDENTITY_TO_VERIFY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
BG_CAIS_EPP,EUROPE,Bulgaria,NATIONAL,CAIS EPP,https://app.eop.bg/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
HR_EOJN,EUROPE,Croatia,NATIONAL,Electronic Public Procurement Classifieds,https://eojn.nn.hr/,OFFICIAL_OCDS_OR_PORTAL,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
