source_id,region,jurisdiction,government_level,system_name,official_entry_point,access_class,priority_class,state,discovery_basis,notes
CA_CANADABUYS,NORTH_AMERICA,Canada,FEDERAL,CanadaBuys,https://canadabuys.canada.ca/,OFFICIAL_PORTAL_DATA_FEASIBILITY,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
MX_COMPRANET,NORTH_AMERICA,Mexico,FEDERAL,CompraNet,https://compranet.hacienda.gob.mx/,OFFICIAL_PORTAL_DATA_FEASIBILITY,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
US_SAM_OPPORTUNITIES,NORTH_AMERICA,United States,FEDERAL,SAM.gov Contract Opportunities,https://open.gsa.gov/api/get-opportunities-public-api/,OFFICIAL_API,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
US_USASPENDING_AWARDS,NORTH_AMERICA,United States,FEDERAL,USAspending contract awards,https://api.usaspending.gov/,OFFICIAL_API,P1,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
US_CA_CAL_EPROCURE,NORTH_AMERICA,California,SUBNATIONAL,Cal eProcure,https://caleprocure.ca.gov/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
US_NY_CONTRACT_REPORTER,NORTH_AMERICA,New York,SUBNATIONAL,New York State Contract Reporter,https://www.nyscr.ny.gov/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
CA_QUEBEC_SEAO,NORTH_AMERICA,Quebec,SUBNATIONAL,SEAO open contracting data,https://www.donneesquebec.ca/,OFFICIAL_OCDS_BULK,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
US_TX_SMARTBUY,NORTH_AMERICA,Texas,SUBNATIONAL,Texas SmartBuy,https://www.txsmartbuy.com/,OFFICIAL_PORTAL_FEASIBILITY,P2,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
US_FL_MFMP,NORTH_AMERICA,Florida,SUBNATIONAL,MyFloridaMarketPlace,https://vendor.myfloridamarketplace.com/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
US_MA_COMMBUYS,NORTH_AMERICA,Massachusetts,SUBNATIONAL,COMMBUYS,https://www.commbuys.com/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
MX_NUEVO_LEON_OCDS,NORTH_AMERICA,Nuevo León,SUBNATIONAL,Nuevo León open contracting data,https://catalogodatos.nl.gob.mx/,OFFICIAL_OCDS_BULK,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
CA_ONTARIO_TENDERS,NORTH_AMERICA,Ontario,SUBNATIONAL,Ontario Tenders Portal,https://ontariotenders.app.jaggaer.com/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
US_VA_EVA,NORTH_AMERICA,Virginia,SUBNATIONAL,eVA,https://eva.virginia.gov/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
US_WA_WEBS,NORTH_AMERICA,Washington State,SUBNATIONAL,Washington Electronic Business Solution,https://pr-webs-vendor.des.wa.gov/,OFFICIAL_PORTAL_FEASIBILITY,P3,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
CA_MONTREAL_CONTRACTS,NORTH_AMERICA,Montréal,MUNICIPAL,Vue sur les contrats,https://donnees.montreal.ca/,OFFICIAL_API_OCDS,P4,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
US_PORTLAND_OCDS,NORTH_AMERICA,"Portland, Oregon",MUNICIPAL,City of Portland procurement OCDS,https://procure.portlandoregon.gov/,OFFICIAL_OCDS_OR_PORTAL,P4,DISCOVERED,OFFICIAL_SITE_OR_REGISTRY,
